$ kubectl get events -n streamingapp --sort-by=.lastTimestamp

LAST SEEN   TYPE      REASON                         OBJECT                                                MESSAGE
12m         Normal    SuccessfulAttachVolume         pod/streamingapp-mongodb-0                            AttachVolume.Attach succeeded for volume "pvc-1800a086-a24a-485e-a052-8d42fce44d03"
12m         Normal    Started                        pod/streamingapp-mongodb-0                            Started container mongodb
12m         Normal    Created                        pod/streamingapp-mongodb-0                            Created container: mongodb
12m         Normal    Pulled                         pod/streamingapp-mongodb-0                            Container image "mongo:6.0" already present on machine
12m         Normal    ScalingReplicaSet              deployment/streamingapp-frontend                      Scaled up replica set streamingapp-frontend-64b95c79f7 from 1 to 2
12m         Normal    Scheduled                      pod/streamingapp-frontend-64b95c79f7-f2h5h            Successfully assigned streamingapp/streamingapp-frontend-64b95c79f7-f2h5h to ip-10-42-134-198.ap-south-1.compute.internal
12m         Normal    Scheduled                      pod/streamingapp-auth-68d7c9d98c-n8ctd                Successfully assigned streamingapp/streamingapp-auth-68d7c9d98c-n8ctd to ip-10-42-134-198.ap-south-1.compute.internal
12m         Normal    SuccessfulRescale              horizontalpodautoscaler/streamingapp-frontend         New size: 2; reason: Current number of replicas below Spec.MinReplicas
12m         Normal    Scheduled                      pod/streamingapp-streaming-5b546d5667-ckvtk           Successfully assigned streamingapp/streamingapp-streaming-5b546d5667-ckvtk to ip-10-42-105-109.ap-south-1.compute.internal
12m         Normal    SuccessfulCreate               replicaset/streamingapp-frontend-64b95c79f7           Created pod: streamingapp-frontend-64b95c79f7-f2h5h
12m         Normal    SuccessfulCreate               replicaset/streamingapp-auth-68d7c9d98c               Created pod: streamingapp-auth-68d7c9d98c-n8ctd
12m         Normal    SuccessfulCreate               replicaset/streamingapp-streaming-5b546d5667          Created pod: streamingapp-streaming-5b546d5667-ckvtk
12m         Normal    SuccessfulRescale              horizontalpodautoscaler/streamingapp-auth             New size: 2; reason: Current number of replicas below Spec.MinReplicas
12m         Normal    ScalingReplicaSet              deployment/streamingapp-auth                          Scaled up replica set streamingapp-auth-68d7c9d98c from 1 to 2
12m         Normal    ScalingReplicaSet              deployment/streamingapp-streaming                     Scaled up replica set streamingapp-streaming-5b546d5667 from 1 to 2
12m         Normal    SuccessfulRescale              horizontalpodautoscaler/streamingapp-streaming        New size: 2; reason: Current number of replicas below Spec.MinReplicas
12m         Normal    Started                        pod/streamingapp-frontend-64b95c79f7-f2h5h            Started container frontend
12m         Normal    Created                        pod/streamingapp-frontend-64b95c79f7-f2h5h            Created container: frontend
12m         Normal    Pulled                         pod/streamingapp-frontend-64b95c79f7-f2h5h            Container image "400398151988.dkr.ecr.ap-south-1.amazonaws.com/streamingapp/frontend:build-20260815075746" already present on machine
12m         Normal    Started                        pod/streamingapp-streaming-5b546d5667-ckvtk           Started container wait-for-mongo
12m         Normal    Created                        pod/streamingapp-auth-68d7c9d98c-n8ctd                Created container: wait-for-mongo
12m         Normal    Pulled                         pod/streamingapp-streaming-5b546d5667-ckvtk           Container image "busybox:1.36" already present on machine
12m         Normal    Created                        pod/streamingapp-streaming-5b546d5667-ckvtk           Created container: wait-for-mongo
12m         Normal    Pulled                         pod/streamingapp-auth-68d7c9d98c-n8ctd                Container image "busybox:1.36" already present on machine
12m         Normal    Started                        pod/streamingapp-auth-68d7c9d98c-n8ctd                Started container wait-for-mongo
11m         Normal    Started                        pod/streamingapp-chat-67864db5c4-v4d9x                Started container chat
11m         Normal    Created                        pod/streamingapp-chat-67864db5c4-v4d9x                Created container: chat
11m         Normal    Pulled                         pod/streamingapp-chat-67864db5c4-v4d9x                Container image "400398151988.dkr.ecr.ap-south-1.amazonaws.com/streamingapp/chat-service:build-20260815075746" already present on machine
11m         Normal    Started                        pod/streamingapp-streaming-5b546d5667-k7wjh           Started container streaming
